Name,Skills,Skill Count,Critical Success Desc,Critical Success Effects,Success Desc,Success Effects,Failure Desc,Failure Effects,Critical Failure Desc,Critical Failure Effects
Aid Another,"agriculture (farming expertise), arts (cultural knowledge), boating (maritime skills), defense (military tactics), engineering (construction knowledge), exploration (reconnaissance), folklore (local traditions), industry (production expertise), intrigue (political maneuvering), magic (arcane knowledge), politics (diplomatic insight), scholarship (academic research), statecraft (governance wisdom), trade (economic acumen), warfare (strategic planning), wilderness (survival expertise)",16,You provide exceptional aid. The target gains a +4 circumstance bonus and can keep the higher of two d20 rolls.,+4 circumstance bonus; target keeps higher of two d20 rolls,"You provide helpful aid. The target gains a circumstance bonus based on your proficiency: +1 (untrained), +2 (trained/expert), +3 (master), or +4 (legendary).",Circumstance bonus based on proficiency (+1 to +4),Your aid has no effect. You can try again using a different skill.,No effect,"Your attempt to aid actually hinders the target, imposing a -1 circumstance penalty to their check.",
Arrest Dissidents,"intimidation (show of force), society (legal procedures), stealth (covert operations), deception (infiltration tactics), athletics (physical pursuit)",5,The troublemakers are swiftly arrested.,Reduce imprisoned unrest,The troublemakers are arrested.,Reduce imprisoned unrest,The arrests fail.,No progress; no effect,Botched arrests cause riots.,+1 unrest
Build Roads,"crafting (engineering expertise), survival (pathfinding routes), athletics (manual labor), nature (work with terrain)",4,Excellent roads are constructed.,Build 2 roads,A road is constructed.,Build 1 road,Construction fails.,-1 lumber; -1 stone,Work crews are lost.,+1 unrest
Build Structure,"crafting (construction expertise), society (organize workforce), athletics (physical labor), arcana (magically assisted construction)",4,The structure is constructed efficiently.,Build selected structure,Construction begins on the structure.,Build selected structure,Construction of the structure fails.,No progress; no effect,Accidents and disputes plague the structure project.,+1 unrest
Claim Hexes,"survival (wilderness expertise), society (administrative control)",2,Your kingdom expands rapidly.,Claim 2 hexes,Your kingdom expands.,Claim 1 hex,The expansion fails.,No progress; no effect,The expansion attempt backfires.,+1 unrest
Collect Stipend,"intimidation (demand payment), deception (creative accounting), diplomacy (formal request), society (proper procedures), performance (justify worth), thievery (skim the treasury)",6,You are handsomely compensated.,+2d6 gold,You receive your stipend.,+1d6 gold,The treasury struggles to pay you.,+1 unrest,Your demands spark outrage.,+1d4 unrest
Create Worksite,"crafting (build infrastructure), nature (identify resources), survival (frontier operations), athletics (manual labor), arcana (magical extraction), religion (blessed endeavors)",6,The worksite is established quickly and immediately produces resources.,Create worksite; immediately produce resources,The worksite is established.,Create worksite,The workers make no progress.,No progress; no effect,The work is abandoned and tensions rise.,+1 unrest
Deal with Unrest,"performance (entertainment and festivities), religion (religious ceremonies), intimidation (shows of force), diplomacy (diplomatic engagement), arcana (magical persuasion), medicine (public health initiatives), occultism (mystical demonstrations)",7,The people rally to your cause.,-3 unrest,The people listen.,-2 unrest,Tensions ease slightly.,-1 unrest,No one listens.,
Deploy Army,"nature (natural pathways), survival (wilderness navigation), athletics (forced march), stealth (covert movement)",4,"Your forces move swiftly into position, confident in their victory.",Deploy army to selected hex,A steady march. Your forces arrive at their destination ready for action.,Deploy army to selected hex,Your troops arrive tired and less prepared for combat.,Army deployed but arrives fatigued,Your forces get lost and arrive demoralized and exhausted.,+1 unrest
Diplomatic Mission,"diplomacy (formal negotiations), society (cultural exchange), performance (diplomatic ceremonies), deception (strategic positioning), occultism (mystical bonds), religion (sacred alliances)",6,The diplomatic mission is a resounding success.,-2 gold,Relations improve.,-4 gold,The diplomatic mission fails.,-2 gold,Your diplomats offend the faction.,-4 gold
Disband Army,"intimidation (stern dismissal), diplomacy (honorable discharge), society (reintegration programs), performance (farewell ceremony)",4,The people welcome them home with honor.,-2 unrest,The army is disbanded smoothly.,-1 unrest,The army is disbanded.,Army disbanded,The disbandment causes unrest.,+1 unrest
Establish Settlement,"society (organized settlement), survival (frontier establishment), diplomacy (attract settlers), religion (blessed founding), medicine (healthy community planning)",5,The village is established quickly.,-2 gold; -2 food; -2 lumber,The village is established.,-2 gold; -2 food; -2 lumber,Resources are wasted.,-1 gold; -1 food; -1 lumber,The settlement attempt is a complete disaster.,-2 gold; -2 food; -2 lumber; +1 unrest
