Name,Approach,Skills,Skill Count,Approach Descriptor,Critical Success,CS Val,CS Text,Success,S Val,S Text,Failure,F Val,F Text,Critical Failure,CF Val,CF Text,Description,Status
1. Criminal Trial,Virtuous,"religion, diplomacy, performance",3,Show Mercy,"Pardon 1d3, -1d4 Unrest",7,Redemptive justice inspires reformation; pardoned criminals become model citizens.,"Pardon 1d3, -1 Unrest",4,Merciful sentences restore balance; pardoned souls embrace second chances.,"-1d3 Gold, +1 Unrest",-4,Unearned leniency emboldens the criminal underworld.,+1d4+1 Unrest,-7,Misplaced mercy ignites fury among victims and lawful folk alike.,A high-profile trial demands the kingdom's attention.,Reviewed
,Practical,"society, diplomacy, nature",3,Fair Trial,"Faction +1, -1d3 Unrest",7,Impeccable legal proceedings set precedent; justice system earns renown.,-1d3 Unrest,4,Balanced verdict satisfies law and conscience; order is maintained.,+1d3 Unrest,-4,Legal technicalities delay justice; public confidence wavers.,"Faction -1, +1d3 Unrest",-7,Procedural chaos allows criminals to exploit loopholes and escape.,,
,Ruthless,"intimidation, performance, deception",3,Harsh Punishment,"Convert 2d4, +1d3 Gold",7,Brutal spectacle terrifies criminals into submission; dissidents vanish into cells.,"Convert 1d3, +1d3 Gold",4,Savage sentences send clear warning; fear silences the underworld.,-1d3 innocents,-4,Excessive cruelty breeds resentment; innocents suffer collateral harm.,"-1d3 innocents, +1d2 Unrest",-7,Tyrannical verdict outrages citizens; innocent blood stains your justice.,,
2. Feud,Virtuous,"diplomacy, society, religion",3,Mediate Peacefully,"Faction +1, Faction +1, -1 Unrest",8,Patient wisdom heals old wounds; former enemies embrace as allies.,-1d3 Unrest,4,Compassionate mediation bridges the divide; peace is restored.,+1d3 Unrest,-4,Stubborn pride rejects reconciliation; tensions remain.,"Faction -1, Faction -1, +1 Unrest",-8,Naive diplomacy insults both families; violence escalates.,A bitter conflict between powerful families threatens stability.,Reviewed
,Practical,"deception, stealth, thievery",3,Manipulate Outcome,"+2d4 Gold, -1d2 Unrest",8,Brilliant schemes unite families without them realizing they were manipulated.,"+1d3 Gold, -1 Unrest",4,Subtle machinations dissolve tensions while preserving appearances.,"-1d3 Gold, +1 Unrest",-4,Exposed deception damages trust; both families turn hostile.,"-1d3 Gold, Army fatigued, +1d2 Unrest",-8,Catastrophic failure reveals your schemes; united in fury against you.,,
,Ruthless,"intimidation, performance, athletics",3,Force Compliance,"Convert 2d3, +2d3 Gold",8,Overwhelming force crushes resistance; terrified families submit utterly.,"Convert 1d3, +1d3 Gold",4,Brutal intimidation silences the feud; fear enforces compliance.,+1d3 Unrest,-4,Heavy-handed tactics ignite greater resentment and defiance.,"Damage 1 structure, -1d2 innocents",-8,Violent crackdown sparks riots; buildings burn as families unite against tyranny.,,
3. Inquisition,Virtuous,"diplomacy, society, medicine",3,Protect the Accused,"Faction +1, -1d4 Unrest",8,Brave defiance vindicates innocents; grateful refugees enrich the realm.,"Faction +1, +1 Gold",4,Principled protection ends hysteria; justice prevails over fear.,"Faction -1, -1 Gold",-4,Zealots brand you heretic-lover; angry mobs gather strength.,"Faction -1, +1d4 Unrest",-8,Furious inquisitors incite riots; persecution escalates wildly.,Religious authorities demand investigation of suspected heresy.,Reviewed
,Practical,"society, deception, occultism",3,Formal Investigation,"-1d3 Unrest, +2d3 Gold",8,Diplomatic balance satisfies all; grateful factions offer tribute.,"+1d3 Gold, -1 Unrest",4,Careful mediation quells hysteria; thankful moderates pay tribute.,"-1d3 Gold, +1 Unrest",-4,Fence-sitting earns scorn from zealots and victims alike.,"+1d3 Unrest, -2d3 Gold",-8,Craven inaction enrages both sides; chaos consumes all.,,
,Ruthless,"religion, intimidation, athletics",3,Support Inquisitors,"+2d4 Gold, Faction +1",8,Merciless purge seizes assets and eliminates troublemakers.,"Convert 1d3, +1d3 Gold",4,Brutal efficiency imprisons dissidents and secures order.,+1d3 innocents,-4,Savage persecution horrifies neighbors; innocents suffer needlessly.,"+1d3 Unrest, +1d3 innocents",-8,Atrocities shock the civilized world; allies turn away in disgust.,,
4. Public Scandal,Virtuous,"society, diplomacy, religion",3,Transparent Response,Gain Action,8,Honesty transforms scandal into triumph; extra action granted.,"-1 Unrest, +1d3 Gold",4,Truth earns respect and unexpected donations.,"+1 Unrest, -1d3 Gold",-4,Investigation drags on; costs and tensions mount.,"+1d4 Unrest, Faction -1",-8,Revelations expose deeper corruption.,A scandal involving a prominent figure rocks the kingdom.,Reviewed
,Practical,"deception, stealth, performance",3,Manage Narrative,"-1d3 Unrest, +2d3 Gold",8,Evidence vanishes without trace; silence purchased.,-1d3 Unrest,4,Whispers fade as bribes work their magic.,+1d3 Unrest,-4,Cover-up unravels; the truth emerges anyway.,"Faction -1, Faction -1, -1d3 Gold",-8,Failed bribes enrage multiple factions.,,
,Ruthless,"intimidation, deception, thievery",3,Suppress Story,"Army Well Trained, Faction +1",8,Scapegoat succeeds; military uses scandal as training.,"+1d3 Gold, -1 Unrest",4,Subordinate takes fall; matter quietly closed.,+1d3 innocents,-4,Obvious framing fools no one.,"-1d4 innocents, Faction -1",-8,Cruel injustice outrages all who witness it.,,
5. Plague,Virtuous,"medicine, religion, nature",3,Quarantine & Care,"Faction +1, Faction +1, -1d3 Unrest",10,Your selfless devotion inspires hope; people rally together.,"Faction +1, +1 Gold",4,Compassionate care earns gratitude and donations.,"-1d3 Food, -1d3 Gold",-4,Treatment costs drain treasuries faster than plague spreads.,"-2d4 Food, Settlement -1 Level",-10,Overwhelmed healers watch helplessly as settlements wither.,A deadly disease threatens the population.,Reviewed
,Practical,"society, medicine, crafting",3,Contain Spread,"-1d4 Unrest, +1 Fame",10,Methodical isolation halts the spread; order restored.,-1d3 Unrest,4,Disciplined measures contain outbreak before it spreads.,"-1d3 Food, +1 Unrest",-4,Quarantine breaches allow disease to claim more victims.,"+1d4 Unrest, -2d4 Food",-10,Chaos erupts as containment fails spectacularly.,,
,Ruthless,"intimidation, survival, athletics",3,Burn the Infected,"+2d4 Gold, -1d4 Unrest",10,Ruthless purge eradicates plague; seized assets fill coffers.,-1d3 Unrest,4,Fear-driven compliance stops the spread cold.,+1d3 Unrest,-4,Heavy-handed tactics create more problems than they solve.,"Lose Worksite, Damage 1 structure",-10,Fires meant to cleanse instead destroy livelihoods.,,
6. Food Shortage,Virtuous,"diplomacy, society, medicine",3,Share Reserves,"-1d3 Unrest, Faction +1, Faction +1",10,Selfless generosity inspires miraculous donations; unity thrives amid scarcity.,-1d3 Unrest,4,Compassionate aid heals hearts; grateful communities endure together.,"+1 Unrest, -1d3 Food",-4,Noble intentions drain reserves; weakened troops fall ill from hunger.,"+1d3 Unrest, -2d4+1 Food",-10,Reckless charity empties storehouses; starving soldiers lose morale.,Crops fail and hunger spreads through the kingdom.,Reviewed
,Practical,"society, nature, crafting",3,Ration & Import,"-1d4 Unrest, +1 Fame",10,Masterful logistics prevent waste; crisis resolved with minimal suffering.,-1d3 Unrest,4,Fair distribution maintains order; citizens accept rationed hardships.,"-1d3 Gold, +1 Unrest",-4,Bureaucratic tangles spoil food; frustration breeds discontent.,"+1d3 Unrest, -1d3 Gold, -2d3 Food",-10,Rationing system collapses; corruption and black markets flourish.,,
,Ruthless,"intimidation, athletics, survival",3,Feed Nobility,"-1d4 Unrest, +2d4 Gold",10,Iron rule crushes dissent; elite feast while cowed masses submit.,+2d3 Gold,4,Military strength preserved; starving commoners simmer with resentment.,"-1d3 Food, +1 Unrest",-4,Desperate hunger ignites riots; mobs ransack buildings seeking food.,"+1d4 Unrest, -1d3 Food, Faction -1",-10,Mass starvation triggers revolt; burning buildings mark your cruelty.,,
7. Natural Disaster,Virtuous,"survival, medicine, athletics",3,Rescue & Relief,"+1 Fame, Faction +1, -1 Unrest",10,Heroic rescues save every soul; grateful survivors rebuild together.,-1d4 Unrest,5,"Compassionate evacuation spares lives; survivors mourn lost homes, not loved ones.",Lose Worksite,-5,Noble focus on people leaves assets unguarded; ruins mark your priorities.,"Damage 1 structure, Lose Worksite",-10,Chaos overwhelms good intentions; crumbling structures bury hopes and dreams.,"Earthquake, flood, or storm devastates the region.",Reviewed
,Practical,"society, crafting, survival",3,Protect Infrastructure,"+2d4 Gold, -1d4 Unrest",10,Methodical coordination saves lives and salvages valuable resources.,"-1d2 Unrest, +1d3 Gold",5,Balanced triage protects most critical assets; measured approach succeeds.,"+1 Unrest, -1d3 Food, -1 Gold",-5,Divided efforts achieve neither goal; disaster claims buildings and morale.,"-1d3 Food, -1d3 Lumber, -1d3 Ore, +1d3 Unrest",-10,Indecision paralyzes response; catastrophe consumes all while leaders deliberate.,,
,Ruthless,"intimidation, survival, thievery",3,Martial Law,"-1d2 Unrest, +1d3 Gold, Army Well Trained",10,Ruthless troops salvage materials from ruins; cold efficiency earns harsh discipline.,"+1d3 Gold, -1d2 Unrest",5,Soldiers guard property over people; saved buildings stand as monuments to greed.,Army enfeebled,-5,Callous priorities exhaust troops guarding doomed structures; shame follows.,"Damage 1 structure, Army enfeebled",-10,Brutal orders break morale; soldiers watch helplessly as everything burns anyway.,,
8. Immigration,Virtuous,"diplomacy, society, medicine",3,Welcome Citizens,"+1d3 Gold, +1 Fame, Faction +1",10,Newcomers thrive; their success inspires others to join.,"+1d3 Gold, Faction +1",5,Grateful settlers share their skills and resources.,"+1 Unrest, Faction -1",-5,Overwhelmed infrastructure breeds resentment.,"Faction -1, +1d3 Unrest, -1d3+1 Food",-10,Desperate migrants strain resources; tensions erupt.,A large group of refugees seeks shelter in your kingdom.,Reviewed
,Practical,"society, survival, nature",3,Selective Entry,"+1 Worksite, -1d4 Unrest",10,Skilled workers establish productive settlements.,-1d4 Unrest,5,Orderly arrival eases transition for all.,"-1d3+1 Gold, -1d3 Food",-5,Bureaucratic delays frustrate everyone involved.,"-1 Fame, -2d3 Gold, -1d3 Food",-11,Mismanagement wastes opportunities and resources.,,
,Ruthless,"intimidation, arcana, occultism",3,Forced Labour,"+1 Worksite, Settlement +1 Level",10,Forced labor rapidly expands your holdings.,+1 Worksite,5,Exploitation yields swift construction.,+1d4 Unrest,-5,Cruelty sparks whispered rebellion.,"+1d4 Unrest, -1 Fame",-10,Brutal conditions horrify neighboring kingdoms.,,
9. Assassination Attempt,Virtuous,"diplomacy, society, medicine",3,Public Investigation,"+1 Fame, Faction +1, -1d4 Unrest",13,Public vigilance captures assassin; transparency forges unbreakable trust.,-1d3 Unrest,4,Open governance reassures citizens; calm resolve foils plot.,"+1d2 Unrest, -1 Gold",-4,Exploited openness allows injury; guards arrive too late.,"+1 Unrest, Lose Action",-10,Stubborn refusal of protection leaves leader gravely wounded.,Someone tries to kill a key figure in the kingdom.,Reviewed
,Practical,"stealth, survival, arcana",3,Secret Investigation,"+2d4 Gold, -1d4 Unrest",10,Brilliant sleuthing unravels entire conspiracy; all traitors seized.,+1d3 Gold,2,Methodical security upgrades quietly neutralize the threat.,"-1d3 Gold, -1 innocents",-4,Expensive investigation yields little; innocents wrongly accused.,"+1 Unrest, Lose Action",-10,Wasteful inquiry bleeds coffers while assassins still lurk.,,
,Ruthless,"intimidation, warfare, athletics",3,Mass Arrests,"Convert 2d4, +2d3 Gold",9,Merciless purge crushes conspiracy; seized assets fill dungeons.,Convert 2d3,4,Brutal crackdown imprisons suspects and terrifies plotters.,+1d3 innocents,-4,Savage overreach jails innocents; resentment festers in shadows.,"Lose Action, +1 Unrest",-10,Tyrannical purge creates martyrs and outrages the realm.,,
10. Crime Wave,Virtuous,"society, diplomacy, religion",3,Community outreach,"-1d4 Unrest, Faction +1",8,Brilliant detective work captures criminals and vindicates innocents.,-1d3 Unrest,4,Methodical investigation brings real culprits to fair trial.,"-1d3 Gold, +1 Unrest",-4,Cold case drains coffers while criminals walk free.,"+1d4 Unrest, -2d4 Gold",-10,Botched inquiry wastes gold and sparks public fury.,"A wave of crime sweeps through the kingdom, threatening public safety.",Reviewed
,Practical,"intimidation, society, arcana",3,Patrols,"-1d2 Unrest, Army Well Trained",8,Tireless guards catch thieves red-handed; trained soldiers emerge.,-1d3 Unrest,4,Visible patrols deter crime and reassure frightened citizens.,+1d3 Unrest,-4,Exhausted guards miss clues; criminals mock futile efforts.,"Army enfeebled, +1d4 Unrest",-10,Failed patrols exhaust troops and embolden criminals.,,
,Ruthless,"intimidation, performance, stealth",3,Crackdown,"Convert 2d4, +1d3+1 Gold",8,Terror reigns supreme; dungeons overflow with arrested suspects.,"Convert 1d3, +1d3 Gold",4,Ruthless sweeps imprison criminals and intimidate survivors.,+1d3 innocents,-4,Brutal raids seize innocents; wrongful arrests breed resentment.,"+1d4 innocents, Damage 1 structure",-10,Savage purge destroys property and outrages the innocent.,,
11. Notorious Heist,Virtuous,"society, diplomacy, religion",3,Track & Recover,"+1 Fame, +2d4 Gold",10,Brilliant detective work captures thieves red-handed; recovered treasures shine.,"+1d3 Gold, -1 Unrest",4,Determined pursuit recovers most stolen goods; justice triumphs over greed.,"-1d3 Gold, +1 Unrest",-4,Noble intentions meet cold trails; expensive investigation yields little.,"-2d4 Gold, +1d4 Unrest",-10,Bungled chase embarrasses guards; empty coffers mock failed justice.,A daring theft threatens your kingdom's security and reputation.,Reviewed
,Practical,"society, intimidation, crafting",3,Increase Security,"-1d4 Unrest, Faction +1, +1d3 Gold",10,Methodical security upgrades deter future crime; seized contraband fills vaults.,"+1 Gold, -1d2 Unrest",4,Pragmatic reforms strengthen defenses; measured response restores order.,"-1 Gold, +1d2 Unrest",-4,Costly precautions stretch budget thin; modest gains disappoint.,"-1d3 Gold, +1d4 Unrest, Faction -1",-10,Elaborate security theater wastes fortune; thieves mock expensive failure.,,
,Ruthless,"intimidation, performance, thievery",3,Terrorize,"Convert 2d4, +2d4 Gold",10,Brutal crackdown shatters criminal networks; terror fills prison cells.,"Convert 1d3, +1d3 Gold",4,Ruthless raids crush resistance; fear silences the underworld.,+1d3 innocents,-4,Indiscriminate violence sweeps up innocents; paranoia breeds injustice.,"Damage 1 structure, -1 Fame",-10,Savage overreaction ignites riots; burning buildings punish tyranny.,,
12. Bandit Activity,Virtuous,"diplomacy, society, religion",3,Negotiate,"+1 Worksite, Faction +1",8,Reformed outlaws become loyal workers; compassion builds prosperity.,-1d3 Unrest,4,Diplomatic resolution spares bloodshed; bandits depart peacefully.,"-1d3 Gold, +1 Unrest",-4,Failed talks force costly bribes to avoid violence.,"-1 Gold, Lose Worksite, +1 Unrest",-8,Bandits mock weakness and ransack worksites for tribute.,Bandits prey on travelers and merchants.,Reviewed
,Practical,"nature, crafting, society",3,Drive Off,"+1 Gold, +1 Worksite, -1 Unrest",8,Stalwart militia routs thieves and recovers stolen wealth.,"+1d3 Gold, -1 Unrest",4,Efficient defense reclaims plunder and restores order.,"-1d3 Gold, +1 Unrest",-4,Bandits strike swiftly; guards arrive to find empty coffers.,"+1d2 Unrest, Army fatigued, -1d3 Gold",-8,Raiders torch worksite before fleeing into wilderness.,,
,Ruthless,"intimidation, stealth, survival",3,Hunt Mercilessly,"Convert 2d3, +1d3 Gold, +1d3 Resource",8,Ruthless hunt annihilates bandits; plunder and prisoners seized.,"Convert 1d3, +1d3 Gold",4,Merciless pursuit captures survivors and reclaims stolen goods.,"-1 innocents, +1 Unrest",-4,Savage tactics turn locals against you; innocents caught in crossfire.,"-1d2 innocents, Army fatigued, +1 Unrest",-8,Brutal carnage destroys property and horrifies witnesses.,,
13. Raiders,Virtuous,"diplomacy, society, survival",3,Defend & Protect,"Faction +1, -1d4 Unrest",8,Former enemies become trading partners; mutual prosperity blooms.,-1d3 Unrest,4,Diplomacy wins fragile peace; raiders depart with dignity.,+1d3 Unrest,-4,Empty promises waste resources; tension simmers unresolved.,"Faction -1, +1d4 Unrest",-8,Scornful raiders extort tribute and mock your weakness.,Armed raiders threaten settlements.,Reviewed
,Practical,"nature, society, crafting",3,Strategic Defense,"+1d3 Gold, -1d3 Unrest, +1d3 Resource",8,Ironclad defenses repel marauders; salvaged gear enriches coffers.,"+1d3 Gold, -1 Unrest",4,Prepared positions turn raiders away without losses.,"+1 Unrest, -1d3 Gold",-4,Weakened defenses crumble under relentless assault.,"Damage 1 structure, -1 Gold, +1 Unrest",-8,Raiders breach walls and raze vital infrastructure.,,
,Ruthless,"intimidation, stealth, deception",3,Counter-raid,"Claim 1 hex, Convert 1d3, +1 Gold",8,Annihilation complete; plundered wealth and captured prisoners secured.,"+1d3 Gold, Convert 1d3",4,Swift victory reclaims stolen goods and captures survivors.,"Army fatigued, -1 Food",-4,Drawn-out battle depletes supplies and exhausts troops.,"Army enfeebled, -1d3 Gold, -1 Food",-8,Ambush shatters forces; survivors limp home in shame.,,
14. Trade Agreement,Virtuous,"diplomacy, society, crafting",3,Generous terms,"+1d3 Gold, Faction +1, Faction +1",8,Selfless terms forge unbreakable bonds; grateful merchants pledge lasting loyalty.,"Faction +1, +1 Gold",4,Fair dealing earns respect; honest trade builds enduring partnerships.,"-1d3 Gold, -1d3 Resource",-4,Noble generosity yields meager returns; goodwill outweighs profit.,"-2d3 Gold, -1d3 Resource, -1d3 Resource",-8,Naive charity invites exploitation; ruthless merchants drain coffers.,A foreign nation offers a trade deal.,Reviewed
,Practical,"diplomacy, society, performance",3,Fair trade,"+1d3 Resource, +1d3 Resource, Faction +1, +1 Gold",8,Masterful negotiation balances interests; mutual prosperity flows endlessly.,"+1d3 Resource, +1d3 Resource",4,Pragmatic compromise satisfies both sides; steady trade enriches all.,"-1d3 Resource, -1d3 Resource",-4,Cautious bargaining yields modest gains; neither side thrills at outcome.,"-1d3 Resource, -1d3 Resource, -2d3 Gold",-8,Inflexible demands offend partners; squandered opportunity breeds resentment.,,
,Ruthless,"intimidation, deception, thievery",3,Exploit Partner,"+2d3 Gold, +1d3 Resource, +1d3 Resource",8,Ruthless leverage extracts maximum profit; cowed merchants accept exploitation.,"+1d3 Resource, +1d3 Gold",4,Aggressive demands secure advantage; reluctant partners submit to greed.,"Faction -1, -1 Resource",-4,Brutal tactics alienate merchants; ill-gotten gains cannot restore trust.,"-1 Fame, Faction -1",-8,Shameless extortion destroys relationships; word spreads of your treachery.,,
15. Economic Surge,Virtuous,"diplomacy, society, crafting",3,Share Prosperity,"Faction +1, -1d3 Unrest, +1d3 Gold",9,Generous wages inspire loyalty; thriving workers fuel even greater prosperity.,"Faction +1, +1 Gold",4,Fair compensation eases tensions and sustains economic momentum.,"Faction -1, -1 Gold",-4,Well-intentioned spending outpaces economic gains.,"-2d3 Resource, -1 Fame",-9,Lavish promises bankrupt treasury while achieving nothing lasting.,Trade and commerce boom unexpectedly.,Reviewed
,Practical,"society, crafting, medicine",3,Stockpile Surplus,"+1d4 Gold, +2d3 Resource, +1d4 Food",9,Strategic investments multiply wealth; warehouses overflow with bounty.,"+1d3 Resource, +1d3 Food",4,Prudent planning stockpiles resources for future needs.,"-1d3 Resource, -1d3 Food",-4,Conservative approach captures only meager surplus.,"-2d3 Gold, -1d4 Resource, -1d4 Food",-9,Mismanaged investments squander the windfall entirely.,,
,Ruthless,"intimidation, society, thievery",3,Exploit for Profit,"+2d3 Resource, +2d4 Gold",9,Ruthless extraction drains every coin; intimidation silences dissent.,+2d3 Gold,4,Heavy-handed taxes seize wealth while citizens grumble bitterly.,"Faction -1, -1 Gold",-4,Greedy demands alienate merchants and drain goodwill.,"+1d3 Unrest, -1 Fame",-9,Crushing taxation ignites violent riots; buildings burn in protest.,,
16. Food Surplus,Virtuous,"nature, diplomacy, medicine",3,Feed the Poor,"Faction +1, +1 Fame",8,Selfless sharing inspires hope; grateful communities build new structures.,"Faction +1, +1 Food",4,Generous hearts feed hungry mouths; loyalty blooms amid plenty.,"-1 Food, +1d2 Unrest",-4,Well-meaning charity attracts opportunists; resentment brews.,"-2d4 Food, Faction -1",-8,Naive generosity creates chaos; spoiled food breeds discontent.,Abundant harvests create excess food.,Reviewed
,Practical,"society, crafting, diplomacy",3,Store & Trade,"+2d3 Food, +2d3 Gold",8,Expert preservation secures future; markets stabilize as prices drop.,"+1d3 Food, +1d3 Gold",4,Methodical storage fills granaries; fears of scarcity vanish.,"-1d3 Food, -1d3 Gold",-4,Bureaucratic delays spoil perishables; profits shrink.,"-2d3 Food, -2d3 Gold",-8,Mismanaged warehouses rot; wasted bounty mocks planning.,,
,Ruthless,"society, diplomacy, deception",3,Tax the Farmers,"+3d3 Gold, +1d3 Food",8,Ruthless trade secures foreign wealth; new markets open eagerly.,+2d3 Gold,4,Shrewd merchants exploit demand; coffers overflow with gold.,+1d3 Unrest,-4,Greed blinds leaders; hungry citizens watch exports sail away.,"Faction -1, +1d4 Unrest",-8,Callous profiteering sparks outrage; people remember this betrayal.,,
17. Boomtown,Virtuous,"diplomacy, society, medicine",3,Community Planning,"Settlement +1 Level, +1 Structure",10,Equitable growth inspires loyalty; grateful workers build freely.,Settlement +1 Level,5,Fair housing stabilizes boom; settlement expands peacefully.,-2d3 Gold,-4,Generous promises drain coffers faster than revenue arrives.,"-2d4 Gold, -1 Fame",-10,Chaotic planning collapses infrastructure and breeds chaos.,A settlement experiences rapid growth.,Reviewed
,Practical,"society, crafting, nature",3,Managed Expansion,"+1 Structure, +1d4 Resource, +1d4 Food",10,Perfect regulations channel boom into wealth and infrastructure.,+1 Structure,5,Measured permits guide sustainable expansion without waste.,"-1d3 Gold, -1d3 Resource",-4,Endless paperwork strangles growth; frustrated builders flee.,"-1d4 Gold, -1d4 Resource, -1 Fame",-10,Suffocating bureaucracy kills momentum and enrages citizens.,,
,Ruthless,"intimidation, society, athletics",3,Exploit Markets,"+2d4 Gold, +1 Structure",10,Ruthless fees bleed boom dry; gold flows endlessly into vaults.,+1 Structure,5,Extortionate rents extract wealth from resentful newcomers.,+1d2 Unrest,-3,Greedy fees spark anger; profit drowns in rising unrest.,"+1d4 Unrest, -1 Fame",-10,Naked exploitation outrages all; reputation crumbles.,,
18. Land Rush,Virtuous,"diplomacy, survival, society",3,Fair Distribution,"Claim 1 hex, Claim 1 hex",10,Generous grants unite pioneers; thriving settlements spring forth.,Claim 1 hex,5,Fair distribution earns loyalty; grateful settlers claim their plots.,"-1 Gold, +1d3 Unrest",-5,Noble ideals meet harsh reality; chaos drains coffers.,"-1 Fame, Lose Worksite",-10,Naive charity empowers land-grabbers; disorder reigns unchecked.,Settlers compete for newly available land.,Reviewed
,Practical,"society, survival, performance",3,Auction,"Claim 1 hex, +2d4 Gold",10,Methodical planning yields prosperous settlements and steady revenue.,Claim 1 hex,5,Efficient permits channel settlers wisely; order prevails.,"-1d3 Gold, +1d2 Unrest",-5,Rigid bureaucracy stifles pioneer spirit; delays frustrate all.,"-2d3 Gold, +1d3 Unrest, -1d3 Resource",-10,Tangled regulations spawn corruption; chaos erupts anyway.,,
,Ruthless,"intimidation, society, thievery",3,Favor Allies,"Claim 1 hex, Faction +1, +1d3 Gold",10,Ruthless auctions enrich allies; favored settlers build lucrative ventures.,Claim 1 hex,5,Shrewd bidding fills coffers; well-connected pioneers claim prime land.,"Faction -1, +1 Unrest",-5,Blatant favoritism breeds anger; common folk denounce corruption.,"Faction -1, Fame -1, -1d3 Gold",-10,Greedy schemes backfire; outraged settlers abandon kingdom entirely.,,
19. Pilgrimage,Virtuous,"religion, diplomacy, medicine",3,Free Passage,"Faction +1, Fame +1, -1 Unrest",10,Divine blessings rain upon generous hosts.,-1d3 Unrest,4,Grateful pilgrims leave offerings and prayers.,+1d3 Unrest,-4,Overwhelmed towns struggle with endless visitors.,"Faction -1, Fame -1, +1 Unrest",-10,Chaos breeds resentment; sacred journey sours.,Religious travelers pass through your kingdom seeking holy sites.,Reviewed
,Practical,"society, religion, survival",3,Protect the Pilgrims,"-1d4 Unrest, Army Well Trained",10,Perfect organization earns praise and trains guards.,"+1d3 Gold, -1 Unrest",4,Fees fund smooth passage for all.,"-1d3 Gold, +1 Unrest",-4,Bureaucracy frustrates faithful travelers.,"-1d3 Gold, +1d4 Unrest, Army fatigued",-10,Greed offends pilgrims; guards overwhelmed.,,
,Ruthless,"intimidation, society, thievery",3,Pay or be Persecuted,"+2d4 Gold, +2d4 Resource",10,Wealthy devotees pay lavishly for sacred access.,+2d3 Gold,4,Heavy tolls extract maximum profit.,+1d3 innocents,-4,Cruel fees turn away the faithful.,"Fame -1, Faction -1, +1 Unrest",-10,Multiple faiths condemn your naked avarice.,,
20. Diplomatic Overture,Virtuous,"diplomacy, society, religion",3,Generous Terms,"+1 Fame, Faction +1",8,Magnanimous generosity forges unbreakable alliance and thriving trade.,"Faction +1, -1 Unrest",5,Generous treaty strengthens bonds; neighbors become trusted friends.,"Faction -1, +1 Unrest",-5,Excessive charity drains coffers while gaining little diplomatic ground.,"Faction -1, +1d4 Unrest",-8,Weakness displayed; rivals scorn your naive generosity.,A foreign nation offers diplomatic relations.,Reviewed
,Practical,"diplomacy, society, performance",3,Balanced Agreement,"Faction +1, +1d4 Resource, +1d4 Resource",8,Masterful negotiation secures profit while earning genuine respect.,"Faction +1, +1d3 Resource",5,Fair bargain satisfies both realms; mutual prosperity begins.,"Faction -1, -1d3 Resource",-5,Cautious haggling yields meager goodwill but no tangible trade.,"Faction -1, -1d4 Resource, -1d4 Resource",-8,Calculating tone offends neighbors; talks collapse in bitterness.,,
,Ruthless,"intimidation, deception, thievery",3,Exploit Relationship,"+2d4 Gold, Faction +1",8,Intimidating demands accepted; cowed neighbors provide lucrative tribute.,"+1d3 Gold, Faction +1",5,Strong-arm tactics extract concessions; neighbors comply reluctantly.,"-1d3 Gold, Faction -1",-5,Excessive greed offends; negotiations collapse in mutual distrust.,"-1 Fame, Faction -1",-8,Brazen demands spark outrage across multiple neighboring kingdoms.,,
21. Festive Invitation,Virtuous,"diplomacy, performance, acrobatics",3,Attend Humbly,"Fame +1, Faction +1, -1 Unrest",10,Your down-to-earth warmth inspires joy and lasting friendships.,"Faction +1, -1 Unrest",5,Sincere camaraderie earns respect among common folk.,"Faction -1, +1 Unrest",-5,Your quiet presence fades into the crowded festivities.,"Faction -1, Fame -1, +1 Unrest",-10,Enemies mistake humility for fear; insults fly openly.,Your kingdom is invited to a grand celebration.,Reviewed
,Practical,"diplomacy, society, crafting",3,Diplomatic Gifts,"Faction +1, +2d4 Gold, +1d3 Resource",10,Lavish gifts spark bidding war; nobles shower you with riches.,"Faction +1, +1d3 Resource",5,Thoughtful offerings open doors to new trade partners.,"-1d3 Gold, Faction -1",-5,Guests accept gifts politely but offer nothing in return.,"-2d3 Gold, Faction -1, Faction -1",-10,Offended host publicly refuses; allies distance themselves.,,
,Ruthless,"intimidation, performance, athletics",3,Display Power,"Army equip, -1d4 Unrest",10,Stunning martial parade earns fear and plundered war trophies.,Army Well Trained,5,Intimidating show of force trains soldiers but alienates guests.,"Army fatigued, +1 Unrest",-5,Aggressive posturing exhausts troops without impressing anyone.,"Army enfeebled, +1d4 Unrest",-10,Brutal display horrifies all; tired soldiers slump in disgrace.,,
22. Visiting Celebrity,Virtuous,"diplomacy, society, crafting",3,Simple Hospitality,"+1 Fame, Faction +1",8,Heartfelt welcome touches hearts; moved celebrity spreads glowing tales.,"Faction +1, +1d3 Gold",5,Humble kindness forms genuine bond; grateful guest honors friendship.,"Faction -1, -1d3 Gold",-5,Simple gestures feel inadequate; disappointed entourage departs quietly.,"Fame -1, Faction -1",-8,Naive hospitality insults prestigious guests; offended allies spread scorn.,A famous figure visits your kingdom.,Reviewed
